shimmerLocal_sma;logHNR_sma;pcm_RMSenergy_sma
1.190397e-001;1.513761e+001;4.749102e-003
1.314062e-001;1.604399e+001;4.001379e-003
1.138656e-001;1.640659e+001;3.318430e-003
1.361073e-001;1.242810e+001;2.688123e-003
2.924806e-001;9.868808e+000;2.977413e-003
5.378842e-001;4.260703e+000;3.763529e-003
7.435057e-001;1.566324e+000;4.526194e-003
5.677696e-001;3.484068e+000;4.619982e-003
3.030034e-001;9.585169e+000;4.490271e-003
3.823708e-002;1.589192e+001;4.527852e-003
3.349780e-002;1.613858e+001;4.535156e-003
7.098040e-002;1.565631e+001;4.451069e-003
1.084630e-001;1.199170e+001;4.188394e-003
1.390241e-001;1.055666e+001;3.190239e-003
1.325116e-001;5.472442e+000;1.987609e-003
2.382156e-001;6.979330e+000;1.291112e-003
3.100424e-001;4.648398e+000;1.473215e-003
3.463694e-001;6.206136e+000;2.126172e-003
1.970032e-001;8.982902e+000;2.737120e-003
1.343987e-001;1.368598e+001;3.385019e-003
5.472712e-002;1.794341e+001;4.091493e-003
6.856930e-002;1.773359e+001;4.784618e-003
4.864982e-002;1.657206e+001;5.578161e-003
7.614868e-002;1.611532e+001;6.270405e-003
6.334143e-002;1.688429e+001;6.836609e-003
4.288607e-002;1.954785e+001;6.998610e-003
3.870657e-002;2.130790e+001;6.692362e-003
5.314240e-002;2.167661e+001;5.966345e-003
7.409629e-002;1.921496e+001;5.173931e-003
7.387358e-002;1.799160e+001;4.550751e-003
7.886962e-002;1.551877e+001;4.230729e-003
7.753360e-002;1.536953e+001;3.995078e-003
9.154516e-002;1.399212e+001;3.726952e-003
1.019920e-001;1.436073e+001;3.195395e-003
1.124388e-001;1.125807e+001;2.633875e-003
1.124388e-001;6.725605e+000;2.163897e-003
1.600287e-001;6.358282e+000;1.939026e-003
2.076185e-001;4.223281e+000;1.967952e-003
2.552083e-001;4.223281e+000;2.268534e-003
2.552083e-001;0;2.863303e-003
2.552083e-001;0;3.526121e-003
2.148113e-001;3.991957e+000;4.024373e-003
1.347598e-001;8.731564e+000;4.141329e-003
5.134297e-002;1.512625e+001;4.154242e-003
1.188395e-002;1.770055e+001;4.252747e-003
2.300691e-002;1.965987e+001;4.561682e-003
3.492650e-002;2.129029e+001;4.735384e-003
4.175962e-002;2.190365e+001;4.766499e-003
4.474918e-002;2.291459e+001;4.660471e-003
4.062308e-002;2.116064e+001;4.563412e-003
5.198997e-002;1.899258e+001;4.405943e-003
3.916563e-002;1.829054e+001;4.183433e-003
6.303637e-002;1.748493e+001;3.996141e-003
4.796736e-002;1.834250e+001;3.922573e-003
5.988000e-002;1.817259e+001;3.976326e-003
4.478188e-002;1.889799e+001;4.098905e-003
8.867434e-002;1.977328e+001;4.246515e-003
7.695469e-002;1.982450e+001;4.162010e-003
6.523503e-002;1.882417e+001;3.650256e-003
1.411275e-001;1.467159e+001;2.663057e-003
1.793638e-001;1.141579e+001;1.790242e-003
2.176001e-001;6.225180e+000;1.134176e-003
1.753604e-001;5.053767e+000;9.662394e-004
1.538531e-001;6.685841e+000;3.089248e-003
1.172719e-001;1.252615e+001;5.369043e-003
4.001475e-002;1.687028e+001;7.318843e-003
2.837037e-002;1.894248e+001;6.995244e-003
3.011107e-002;2.102939e+001;6.649071e-003
3.137349e-002;2.309409e+001;6.514381e-003
3.937176e-002;2.266063e+001;6.459258e-003
3.559657e-002;2.337590e+001;6.540012e-003
3.182138e-002;2.261280e+001;6.717183e-003
1.808045e-002;2.148488e+001;6.777423e-003
3.425561e-002;1.848605e+001;6.693410e-003
4.095277e-002;1.809948e+001;6.639183e-003
4.179168e-002;1.858535e+001;6.686925e-003
3.346439e-002;1.984159e+001;6.659469e-003
2.458301e-002;1.999917e+001;6.388883e-003
6.071420e-002;2.030167e+001;5.857455e-003
8.126418e-002;1.954003e+001;5.120281e-003
1.078033e-001;1.762330e+001;4.140744e-003
9.546658e-002;1.352019e+001;3.056853e-003
1.657709e-001;9.488925e+000;2.077355e-003
1.952716e-001;4.709802e+000;1.920082e-003
2.543920e-001;5.073919e+000;2.108275e-003
1.793371e-001;6.519846e+000;2.411554e-003
1.450282e-001;1.092547e+001;2.237307e-003
6.284066e-002;1.193138e+001;2.012241e-003
1.177796e-001;1.210938e+001;1.861366e-003
1.273039e-001;1.070866e+001;1.783817e-003
1.581697e-001;1.186746e+001;1.727258e-003
1.117371e-001;9.714932e+000;1.735375e-003
8.020952e-002;1.072435e+001;1.819734e-003
